segment_type,season,n,margin_mae_model,margin_mae_market,margin_delta_model_minus_market,margin_model_beat_rate,total_mae_model,total_mae_market,total_delta_model_minus_market,total_model_beat_rate,spread_bucket,total_bucket,margin_disagreement_bucket,total_disagreement_bucket
season,2023,254,11.2744358433834,9.844488188976378,1.429947654407023,0.39763779527559057,11.923091250091014,10.362204724409448,1.5608865256815658,0.3858267716535433,,,,
season,2024,256,10.43828076802965,9.6484375,0.7898432680296494,0.40625,10.700439770755162,9.72265625,0.9777835207551622,0.40625,,,,
season,2025,256,10.888632178309201,9.958984375,0.9296478033092015,0.41796875,11.159044544258037,10.26171875,0.8973257942580375,0.41015625,,,,
spread_bucket,,188,10.221749670293503,9.170212765957446,1.0515369043360572,0.4574468085106383,10.88706350303879,9.789893617021276,1.0971698860175145,0.40425531914893614,PK-2.5,,,
spread_bucket,,301,10.662724346808828,9.450166112956811,1.2125582338520164,0.3654485049833887,12.016389968579729,10.661129568106313,1.3552604004734157,0.37209302325581395,3-5.5,,,
spread_bucket,,174,11.721634763493583,11.048850574712644,0.6727841887809394,0.43103448275862066,10.897504220090298,10.155172413793103,0.7423318062971944,0.43103448275862066,6-8.5,,,
spread_bucket,,76,11.749447105209834,10.493421052631579,1.256026052578255,0.3684210526315789,10.696663690660893,9.243421052631579,1.4532426380293142,0.40789473684210525,9-13.5,,,
spread_bucket,,27,9.61870456420975,8.574074074074074,1.0446304901356758,0.48148148148148145,9.321469195065422,8.481481481481481,0.8399877135839411,0.48148148148148145,14+,,,
total_bucket,,236,11.211034158445539,10.209745762711865,1.001288395733674,0.3855932203389831,11.348852430035375,10.286016949152541,1.0628354808828337,0.4322033898305085,,<=41.5,,
total_bucket,,212,10.5119211758453,9.846698113207546,0.6652230626377538,0.46226415094339623,10.393518796112847,9.18867924528302,1.2048395508298277,0.4056603773584906,,42-44.5,,
total_bucket,,174,11.242588049887772,10.204022988505747,1.038565061382025,0.41954022988505746,11.631165645074036,10.488505747126437,1.142659897947599,0.39080459770114945,,45-47.5,,
total_bucket,,102,9.776419908418662,7.911764705882353,1.8646552025363086,0.3235294117647059,11.639810138566922,10.127450980392156,1.5123591581747657,0.3137254901960784,,48-50.5,,
total_bucket,,42,11.801426582633432,10.488095238095237,1.3133313445381951,0.40476190476190477,12.658441607750412,12.25,0.4084416077504116,0.4523809523809524,,51+,,
margin_disagreement,,130,9.4720597811725,9.496153846153845,-0.024094064981344587,0.5307692307692308,11.670046480209066,10.742307692307692,0.9277387879013741,0.38461538461538464,,,<=1,
margin_disagreement,,106,10.139147120823143,9.910377358490566,0.2287697623325773,0.41509433962264153,10.666283955977335,9.40566037735849,1.2606235786188442,0.3867924528301887,,,1-2,
margin_disagreement,,122,11.02571494447862,10.360655737704919,0.6650592067737016,0.36885245901639346,11.406047360908852,10.475409836065573,0.930637524843279,0.3524590163934426,,,2-3,
margin_disagreement,,176,10.23164716958865,9.650568181818182,0.5810789877704678,0.4318181818181818,10.794610532455613,9.985795454545455,0.8088150779101575,0.4375,,,3-5,
margin_disagreement,,96,10.705974142671442,9.130208333333334,1.5757658093381082,0.34375,9.486536750780948,8.817708333333334,0.6688284174476138,0.4479166666666667,,,5-7,
margin_disagreement,,136,13.555870657,10.264705882352942,3.291164774647058,0.33088235294117646,13.049001916085903,10.827205882352942,2.2217960337329608,0.3897058823529412,,,7+,
total_disagreement,,127,10.518646502847492,9.582677165354331,0.9359693374931606,0.3858267716535433,9.198036896494298,9.11023622047244,0.08780067602185682,0.4251968503937008,,,,<=1
total_disagreement,,133,10.176521021933986,9.763157894736842,0.41336312719714385,0.47368421052631576,10.816536138377352,10.56766917293233,0.2488669654450213,0.43609022556390975,,,,1-2
total_disagreement,,117,10.92522827426977,10.444444444444445,0.4807838298253255,0.4700854700854701,11.01115404161763,10.850427350427351,0.16072669119027871,0.47863247863247865,,,,2-3
total_disagreement,,158,10.038539678290105,8.895569620253164,1.1429700580369406,0.3860759493670886,10.889671515955328,9.962025316455696,0.9276461994996321,0.3987341772151899,,,,3-5
total_disagreement,,118,10.672125567715348,9.76271186440678,0.9094137033085676,0.4322033898305085,11.578979043894037,9.936440677966102,1.6425383659279351,0.3559322033898305,,,,5-7
total_disagreement,,113,13.36636480047317,10.84070796460177,2.5256568358714,0.2920353982300885,14.53584531272419,10.349557522123893,4.186287790600296,0.3008849557522124,,,,7+
