bucket,margin_n,mean_internal_margin_weight,mean_internal_cover_probability_weight,total_n,mean_internal_total_weight,mean_internal_over_probability_weight
<=1,112,0.3217849117533311,0.04499083211709661,104,0.006441374159820762,0.006471277203415244
1-2,79,0.0035222891420651978,0.0,106,0.0,0.009486275590822296
2-3,98,0.003935857636303594,0.0039260139059872036,95,0.010977473523779079,0.04057272239260204
3-5,142,0.04831403808418541,0.0,126,0.0,0.008274824230538326
5-7,72,0.011139532637503984,0.19106429636997943,96,0.02105452777455968,0.01745876637478953
7+,101,0.019227559712050916,0.025396650502912895,77,0.007638221786989689,0.061841997413998304
